EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:00:42"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal100_cofF1
TimeSeries,new_data_weights_19742100_seal100_codF1
StartYear,1974

Data,CatchFleetGroup

TimeStep,Fleet,Group,Value
83,1,18,0.1123022
83,2,13,0.0681432
83,2,14,0.1576303
83,3,11,0.003151835
83,3,12,0.0543153
84,1,17,0.02914434
84,1,18,0.1127856
84,2,13,0.0717776
84,2,14,0.1563399
84,3,11,0.003251093
84,3,12,0.05372946
85,1,17,0.03042639
85,1,18,0.1005204
85,2,13,0.07154744
85,2,14,0.1659183
85,3,11,0.006295094
85,3,12,0.04485444
86,1,17,0.03053248
86,1,18,0.1016815
86,2,13,0.07607097
86,2,14,0.1643388
86,3,11,0.006544125
86,3,12,0.04476133
87,1,17,0.03062688
87,1,18,0.1029211
87,2,13,0.08058915
87,2,14,0.1625318
87,3,11,0.006738337
87,3,12,0.04461016
88,1,17,0.03070634
88,1,18,0.1042451
88,2,13,0.08515357
88,2,14,0.1605227
88,3,11,0.006884817
88,3,12,0.04440349
89,1,17,0.03077073
89,1,18,0.1056665
89,2,13,0.08976641
89,2,14,0.1583245
89,3,11,0.006986974
89,3,12,0.0441393
90,1,17,0.03082015
90,1,18,0.1071988
90,2,13,0.09436455
90,2,14,0.1559533
90,3,11,0.007045433
90,3,12,0.04381874
91,1,17,0.03066009
91,1,18,0.1087744
91,2,13,0.09919872
91,2,14,0.1526284
91,3,11,0.007049598
91,3,12,0.04347815
92,1,17,0.03045466
92,1,18,0.1105158
92,2,13,0.1037574
92,2,14,0.1490949
92,3,11,0.00701041
92,3,12,0.04311823
93,1,17,0.03020294
93,1,18,0.1124192
93,2,13,0.107867
93,2,14,0.1454017
93,3,11,0.006927401
93,3,12,0.04276172
94,1,17,0.0299023
94,1,18,0.1144718
94,2,13,0.111363
94,2,14,0.1416083
94,3,11,0.006805816
94,3,12,0.04242371
95,1,17,0.02954655
95,1,18,0.1166511
95,2,13,0.1141182
95,2,14,0.1377824
95,3,11,0.006655728
95,3,12,0.04211591
96,1,17,0.02912933
96,1,18,0.1189266
96,2,13,0.1160648
96,2,14,0.1339963
96,3,11,0.006489569
96,3,12,0.04185124
97,1,17,0.0408306
97,1,18,0.1127908
97,2,13,0.1252984
97,2,14,0.1133346
97,3,11,0.001942069
97,3,12,0.04025097
98,1,17,0.03983835
98,1,18,0.1152602
