EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:44:30"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,MortFleetGroup

Year,Fleet,Group,Value
2007,1,17,0.2096243
2007,1,18,0.4755878
2007,2,13,0.09015363
2007,2,14,0.1573054
2007,3,11,0.0293207
2007,3,12,0.1023732
2008,1,17,0.2096243
2008,1,18,0.4755878
2008,2,13,0.09015363
2008,2,14,0.1573054
2008,3,11,0.0293207
2008,3,12,0.1023732
2009,1,17,0.2096243
2009,1,18,0.4755878
2009,2,13,0.09015363
2009,2,14,0.1573054
2009,3,11,0.0293207
2009,3,12,0.1023732
2010,1,17,0.2096243
2010,1,18,0.4755878
2010,2,13,0.09015363
2010,2,14,0.1573054
2010,3,11,0.0293207
2010,3,12,0.1023732
2011,1,17,0.2096243
2011,1,18,0.4755878
2011,2,13,0.09015363
2011,2,14,0.1573054
2011,3,11,0.0293207
2011,3,12,0.1023732
2012,1,17,0.2096243
2012,1,18,0.4755878
2012,2,13,0.09015363
2012,2,14,0.1573054
2012,3,11,0.0293207
2012,3,12,0.1023732
2013,1,17,0.2096243
2013,1,18,0.4755878
2013,2,13,0.09015363
2013,2,14,0.1573054
2013,3,11,0.0293207
2013,3,12,0.1023732
2014,1,17,0.2096243
2014,1,18,0.4755878
2014,2,13,0.09015363
2014,2,14,0.1573054
2014,3,11,0.0293207
2014,3,12,0.1023732
2015,1,17,0.2096243
2015,1,18,0.4755878
2015,2,13,0.09015363
2015,2,14,0.1573054
2015,3,11,0.0293207
2015,3,12,0.1023732
2016,1,17,0.2096243
2016,1,18,0.4755878
2016,2,13,0.09015363
2016,2,14,0.1573054
2016,3,11,0.0293207
2016,3,12,0.1023732
2017,1,17,0.2096243
2017,1,18,0.4755878
2017,2,13,0.09015363
2017,2,14,0.1573054
2017,3,11,0.0293207
2017,3,12,0.1023732
2018,1,17,0.2096243
2018,1,18,0.4755878
2018,2,13,0.09015363
2018,2,14,0.1573054
2018,3,11,0.0293207
2018,3,12,0.1023732
2019,1,17,0.2096243
2019,1,18,0.4755878
2019,2,13,0.09015363
2019,2,14,0.1573054
2019,3,11,0.0293207
2019,3,12,0.1023732
2020,1,17,0.2096243
2020,1,18,0.4755878
2020,2,13,0.09015363
2020,2,14,0.1573054
2020,3,11,0.0293207
2020,3,12,0.1023732
2021,1,17,0.2096243
2021,1,18,0.4755878
2021,2,13,0.09015363
2021,2,14,0.1573054
2021,3,11,0.0293207
2021,3,12,0.1023732
2022,1,17,0.2096243
2022,1,18,0.4755878
2022,2,13,0.09015363
2022,2,14,0.1573054
2022,3,11,0.0293207
2022,3,12,0.1023732
2023,1,17,0.2096243
